Nro,Retorno,SP500
1047,0.017978012,8.98
1048,-0.019112442,8.81
1049,-0.00912207,8.73
1050,-0.024349029,8.52
1051,-0.024956732,8.31
1052,0,8.31
1053,-0.024361741,8.11
1054,0.0207451,8.28
1055,-0.031904547,8.02
1056,0.004975135,8.06
1057,-0.001241465,8.05
1058,-0.013758816,7.94
1059,-0.010126669,7.86
1060,-0.034955015,7.59
1061,-0.001318392,7.58
1062,0.020888488,7.74
1063,-0.057158414,7.31
1064,-0.017943891,7.18
1065,-0.016854332,7.06
1066,-0.047869908,6.73
1067,-0.0301682,6.53
1068,-0.010777625,6.46
1069,-0.031449133,6.26
1070,-0.03082158,6.07
1071,-0.001648805,6.06
1072,-0.013289232,5.98
1073,0.044160896,6.25
1074,0.026836654,6.42
1075,-0.047856021,6.12
1076,-0.014815086,6.03
1077,0,6.03
1078,0.034233172,6.24
1079,-0.045909701,5.96
1080,0.01167653,6.03
1081,0.014815086,6.12
1082,0.024214258,6.27
1083,-0.039029344,6.03
1084,-0.03373001,5.83
1085,-0.01555779,5.74
1086,-0.014035318,5.66
1087,0.014035318,5.74
1088,-0.010507978,5.68
1089,0.069696849,6.09
1090,-0.021577601,5.96
1091,0.008354267,6.01
1092,-0.001665279,6
1093,-0.033901552,5.8
1094,-0.03509132,5.6
1095,0.001784122,5.61
1096,-0.003571432,5.59
1097,-0.025363678,5.45
1098,0.005489492,5.48
1099,0,5.48
1100,-0.009165967,5.43
1101,-0.041359278,5.21
1102,-0.035159872,5.03
1103,0.01577942,5.11
1104,-0.056352937,4.83
1105,-0.077458059,4.47
1106,-0.015783868,4.4
1107,0.053109825,4.64
1108,0.052477937,4.89
1109,0.036148514,5.07
1110,-0.044362113,4.85
1111,-0.0594655,4.57
1112,0,4.57
1113,0.073795326,4.92
